target,value,tid,date,cookie,hashid,ip,platform,webGL,canvas,deviceId
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",2f8703d1-43ef-4085-b0aa-2a35705e9420,2020-10-09,24c7a4e2fec543df9e0e685f310b7d4f,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,46.151.157.153,web,,3938544732,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",3be15ca1-cf81-42c9-1c51-638f94bff9e4,2020-10-09,24c7a4e2fec543df9e0e685f310b7d4f,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,46.151.157.153,web,,3938544732,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",3f21929f-9d54-4440-9861-bb60e418a251,2020-10-09,24c7a4e2fec543df9e0e685f310b7d4f,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,46.151.157.153,web,,3938544732,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",468513ce-a78a-420a-7f62-25b1d596240f,2020-10-09,24c7a4e2fec543df9e0e685f310b7d4f,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,46.151.157.153,web,,3938544732,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",4b243bba-571b-4bdb-c8f9-d26c039f0dd2,2020-10-09,73bb22c586ce4dfc82fcfd4d9e5e0ac2,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,37.110.157.33,web,,326468480,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",7ae7a157-b961-4b08-1cc6-36f18cfbe710,2020-10-09,24c7a4e2fec543df9e0e685f310b7d4f,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,46.151.157.153,web,,3938544732,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",8661cb14-1d0c-40fb-3a45-8995cc196833,2020-10-09,73bb22c586ce4dfc82fcfd4d9e5e0ac2,,37.110.157.33,web,,326468480,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",adf4a237-3920-4d81-2d0d-c497a53ecbaa,2020-10-09,24c7a4e2fec543df9e0e685f310b7d4f,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,46.151.157.153,web,,3938544732,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",b46224a2-2338-49af-225f-5f4e2526ac33,2020-10-09,24c7a4e2fec543df9e0e685f310b7d4f,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,46.151.157.153,web,,3938544732,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",bb879b8a-9471-4b97-18f0-9acca14eb3f2,2020-10-09,24c7a4e2fec543df9e0e685f310b7d4f,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,46.151.157.153,web,,3938544732,
userAgent,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15",be8ba152-92f3-4c2e-7808-72d4cc72af96,2020-10-09,24c7a4e2fec543df9e0e685f310b7d4f,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,46.151.157.153,web,,3938544732,
userAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0,a93208e1-8056-4cd8-087d-214c25159474,2020-10-09,4608325573b24f41b3da2733cabb2e2a,,46.151.157.153,web,,2479470794,
userAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:81.0) Gecko/20100101 Firefox/81.0,e9c982a8-f84a-4720-a9f4-606a3019275c,2020-10-09,3d79a6e9bb9943aaa99082e68a8782b8,,46.151.157.153,web,,2479470794,
