target,value,tid,date,cookie,hashid,ip,platform,webGL,canvas,deviceId
operation_system,MacIntel,57a45814-9226-46ef-435b-80698ae1bfec,2020-07-13,ffd1cc3af15f4997b87701d39057aad3,,51.37.17.105,web,4033135209.0,2180717899.0,4117115354.0
operation_system,Win32,13886964-7421-49f9-d189-0643da289d16,2020-07-13,7dd0220c4e2c490e9db4789fadb9b6b6,,213.24.134.133,web,394390134.0,1815357531.0,1858489424.0
operation_system,Win32,30d09ccc-e26f-4cbc-0728-cb1c012265f2,2020-07-13,c26d0834c57b4091a6b36fd28ba189fb,,46.188.123.123,web,3530341705.0,976734414.0,1884362745.0
operation_system,Win32,5910ea98-012c-42d4-10ea-8f46482ba041,2020-07-13,c26d0834c57b4091a6b36fd28ba189fb,,46.188.123.123,web,3530341705.0,976734414.0,1884362745.0
operation_system,Win32,601c557b-acaa-44eb-456f-5b13b93e9365,2020-07-13,f345762701d34280b5b1f0a9951f4979,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
operation_system,Win32,76b2e591-adb6-4ec7-d370-c720e6913341,2020-07-13,f345762701d34280b5b1f0a9951f4979,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
operation_system,Win32,88583edd-2b0a-4c55-6ff9-66132772d5d2,2020-07-13,f345762701d34280b5b1f0a9951f4979,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
operation_system,Win32,afd4e291-b51d-4352-c137-2861d30ce44b,2020-07-13,e3b04d434a6c4333b2b8bcee9085207e,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
operation_system,Win32,c582c376-cb22-4ce4-5b26-a3ba14c4a924,2020-07-13,e3b04d434a6c4333b2b8bcee9085207e,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
operation_system,Win32,e0b7c1dc-1729-4844-9089-8beb1f907beb,2020-07-13,e3b04d434a6c4333b2b8bcee9085207e,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
operation_system,Win32,e569ae9f-184c-4f10-c22f-c6bb8289c39d,2020-07-13,aff6bd6a5a764a21bcb1913147f6d2ec,,46.138.179.254,web,1834021602.0,2577512543.0,4094378947.0
platform,web,13886964-7421-49f9-d189-0643da289d16,2020-07-13,7dd0220c4e2c490e9db4789fadb9b6b6,,213.24.134.133,web,394390134.0,1815357531.0,1858489424.0
platform,web,30d09ccc-e26f-4cbc-0728-cb1c012265f2,2020-07-13,c26d0834c57b4091a6b36fd28ba189fb,,46.188.123.123,web,3530341705.0,976734414.0,1884362745.0
platform,web,57a45814-9226-46ef-435b-80698ae1bfec,2020-07-13,ffd1cc3af15f4997b87701d39057aad3,,51.37.17.105,web,4033135209.0,2180717899.0,4117115354.0
platform,web,5910ea98-012c-42d4-10ea-8f46482ba041,2020-07-13,c26d0834c57b4091a6b36fd28ba189fb,,46.188.123.123,web,3530341705.0,976734414.0,1884362745.0
platform,web,601c557b-acaa-44eb-456f-5b13b93e9365,2020-07-13,f345762701d34280b5b1f0a9951f4979,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
platform,web,76b2e591-adb6-4ec7-d370-c720e6913341,2020-07-13,f345762701d34280b5b1f0a9951f4979,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
platform,web,88583edd-2b0a-4c55-6ff9-66132772d5d2,2020-07-13,f345762701d34280b5b1f0a9951f4979,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
platform,web,afd4e291-b51d-4352-c137-2861d30ce44b,2020-07-13,e3b04d434a6c4333b2b8bcee9085207e,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
platform,web,c582c376-cb22-4ce4-5b26-a3ba14c4a924,2020-07-13,e3b04d434a6c4333b2b8bcee9085207e,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
platform,web,e0b7c1dc-1729-4844-9089-8beb1f907beb,2020-07-13,e3b04d434a6c4333b2b8bcee9085207e,,46.138.179.254,web,3760759109.0,2577512543.0,15966859.0
platform,web,e569ae9f-184c-4f10-c22f-c6bb8289c39d,2020-07-13,aff6bd6a5a764a21bcb1913147f6d2ec,,46.138.179.254,web,1834021602.0,2577512543.0,4094378947.0
operation_system,Linux x86_64,23586c09-6447-48d5-a358-b018e06c71f9,2020-05-20,4addf5d6ad27497380a927a712fabfeb,,188.32.160.208,web,,,
operation_system,Linux x86_64,3281781a-ff08-40a7-6d11-8cc02a8f55ef,2020-05-20,4addf5d6ad27497380a927a712fabfeb,,188.32.160.208,web,,,
operation_system,Linux x86_64,58f74fce-b8e3-470f-c77a-839f21967d6b,2020-05-20,4addf5d6ad27497380a927a712fabfeb,,188.32.160.208,web,,,
operation_system,MacIntel,01899d61-4a19-4c24-865f-469dc300b33e,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,MacIntel,03a246e8-6b53-4014-909f-c10f2c2d3355,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,MacIntel,145a5b20-deb1-49f6-d71b-60bec88490b0,2020-05-20,40ec7a1f17844eb58779b3de942ea571,,81.103.179.182,web,,,
operation_system,MacIntel,1b66cd29-c430-41f8-770d-41925c433d69,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,MacIntel,1c70ef34-a373-4361-22fe-14efc7e5f88c,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,89.19.79.29,web,,,
operation_system,MacIntel,2dae004c-ef11-4595-192a-d4cf5bd46acc,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,MacIntel,36169773-9705-4382-5d79-47e540a719e4,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,MacIntel,3e87b502-3625-4e37-b48c-a6aa1b8d33a1,2020-05-20,40ec7a1f17844eb58779b3de942ea571,,81.103.179.182,web,,,
operation_system,MacIntel,52f3a523-c9db-465c-6f49-8459da47a685,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,89.19.79.2,web,,,
operation_system,MacIntel,54660b7e-3211-42b3-94b3-3dd1ef655941,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,89.19.79.14,web,,,
operation_system,MacIntel,5621f8dd-de47-453a-500b-059c2e9d5855,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,MacIntel,6b27227d-82dc-4904-ff24-98de884f2030,2020-05-20,40ec7a1f17844eb58779b3de942ea571,,81.103.179.182,web,,,
operation_system,MacIntel,b483fed5-6ae7-4520-f3e1-ba7197b5eebf,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,MacIntel,d4818fae-2b2f-4b4e-e409-f9cc8d744697,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,MacIntel,e209ee5f-f1f6-4483-4709-d765af323653,2020-05-20,40ec7a1f17844eb58779b3de942ea571,,81.103.179.182,web,,,
operation_system,MacIntel,e6e6561e-c5e5-4075-bd87-68c6ec3935a0,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,89.19.79.42,web,,,
operation_system,MacIntel,f565f97f-b18d-4488-f942-d6a20f7b9b2a,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,MacIntel,fab376ba-90a4-4a90-0412-44c9175855f7,2020-05-20,46b87bf503fc4e88a29226c5807f0227,,213.233.148.25,web,,,
operation_system,Win32,053bf296-a712-4ad8-78f3-a31839969446,2020-05-20,ebf70ef9d13b418c814a4544b3dfb72b,,46.138.179.254,web,,,
operation_system,Win32,0c44ac0f-6365-4454-07d1-df21054969be,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,0f425c7a-f105-425b-f879-31583f9b20c3,2020-05-20,9b9602df78f04c0fa9826b8bf0c3dcf0,,46.138.179.254,web,,,
operation_system,Win32,18f921f2-644e-4df6-17ca-56da03edf28a,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,26d048cc-587e-4cf4-e9c0-9a47ff8a26ee,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,3ac07c2c-41f3-4cf9-5f2b-ac85116b7a68,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,3b50e196-453f-4827-6198-ba17844742de,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,40d83822-d391-4702-b188-ea41a841b226,2020-05-20,9b9602df78f04c0fa9826b8bf0c3dcf0,,46.138.179.254,web,,,
operation_system,Win32,4d78ba9a-ca28-4cb8-7852-e5cd65f58f9b,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,4ea9f9cf-06d6-42aa-9963-71dc1c80f5ba,2020-05-20,ebf70ef9d13b418c814a4544b3dfb72b,,46.138.179.254,web,,,
operation_system,Win32,70d15fe5-fd0e-42d7-7e98-d2d11f2d7905,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,75ffe5dd-62f1-4341-8869-940734933fff,2020-05-20,ebf70ef9d13b418c814a4544b3dfb72b,,46.138.179.254,web,,,
operation_system,Win32,7ca51a35-d16f-4490-aeaf-411724632c66,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,7e4b517d-b7e2-44b0-1030-7dd4ff5d436d,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,7fa77b45-d777-4812-f8e7-8f0085d567ba,2020-05-20,ebf70ef9d13b418c814a4544b3dfb72b,,46.138.179.254,web,,,
operation_system,Win32,84f551c5-1f28-4d79-c7c0-1b4fbc013281,2020-05-20,ebf70ef9d13b418c814a4544b3dfb72b,,46.138.179.254,web,,,
operation_system,Win32,8a102eee-f14b-4542-dc37-16f2f9b688f2,2020-05-20,9b9602df78f04c0fa9826b8bf0c3dcf0,,46.138.179.254,web,,,
operation_system,Win32,8a165e76-4cc5-46f9-6109-249a6ad2e942,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,8c8fad13-a206-4228-c5ed-180e43605cc5,2020-05-20,ebf70ef9d13b418c814a4544b3dfb72b,,46.138.179.254,web,,,
operation_system,Win32,93fd2d1d-4469-43c3-40b4-8b6793ccf582,2020-05-20,9b9602df78f04c0fa9826b8bf0c3dcf0,,46.138.179.254,web,,,
operation_system,Win32,98a4f239-e260-4a14-4437-110461ee14e3,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,a28f0feb-f545-4309-2135-32b2ae564479,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
operation_system,Win32,a29584a0-62de-4bc6-0ee3-0b52ca5fa590,2020-05-20,9b9602df78f04c0fa9826b8bf0c3dcf0,,46.138.179.254,web,,,
operation_system,Win32,b1b772cd-387f-4cbc-e265-588f5d671950,2020-05-20,e1cfddfd6cba4b829f4fa7b7652b5ef9,,109.252.71.55,web,,,
